batch,cohort,gsm,sample_title,phenotype,age_years,biosample,srx,srr,layout,include
M02-B4,GSE232306,GSM7325098,DOR_1,DOR,,SAMN35038500,SRX20291929,SRR24505896,PAIRED,YES
M02-B4,GSE232306,GSM7325101,DOR_2,DOR,,SAMN35038499,SRX20291930,SRR24505894,PAIRED,YES
M02-B4,GSE232306,GSM7325103,DOR_3,DOR,,SAMN35038498,SRX20291931,SRR24505892,PAIRED,YES
M02-B4,GSE232306,GSM7325106,DOR_4,DOR,,SAMN35038497,SRX20291932,SRR24505890,PAIRED,YES
M02-B4,GSE232306,GSM7325109,DOR_5,DOR,,SAMN35038496,SRX20291933,SRR24505888,PAIRED,YES
M02-B4,GSE232306,GSM7325110,DOR_6,DOR,,SAMN35038495,SRX20291934,SRR24505886,PAIRED,YES
M02-B4,GSE232306,GSM7325112,NOR_1,NOR,,SAMN35038494,SRX20291935,SRR24505884,PAIRED,YES
M02-B4,GSE232306,GSM7325114,NOR_2,NOR,,SAMN35038493,SRX20291936,SRR24505882,PAIRED,YES
M02-B4,GSE232306,GSM7325117,NOR_3,NOR,,SAMN35038492,SRX20291937,SRR24505880,PAIRED,YES
M02-B4,GSE232306,GSM7325120,NOR_4,NOR,,SAMN35038491,SRX20291938,SRR24505878,PAIRED,YES
M02-B4,GSE232306,GSM7325123,NOR_5,NOR,,SAMN35038490,SRX20291939,SRR24505876,PAIRED,YES
M02-B4,GSE232306,GSM7325124,NOR_6,NOR,,SAMN35038489,SRX20291940,SRR24505874,PAIRED,YES
