srr,gsm,phenotype,mate,expected_bytes,expected_md5,filename
SRR24505874,GSM7325124,NOR,1,1389662223,c41ad38ccd504e0d790c91f49df524f1,SRR24505874_1.fastq.gz
SRR24505874,GSM7325124,NOR,2,1396290368,c7af2d4ad98e0c54d97677faca1298da,SRR24505874_2.fastq.gz
SRR24505876,GSM7325123,NOR,1,1496156450,90a75b0965a1d25096ec8834a67bd943,SRR24505876_1.fastq.gz
SRR24505876,GSM7325123,NOR,2,1501653754,ed0eb1597761c69c5f626b55600c7d24,SRR24505876_2.fastq.gz
SRR24505878,GSM7325120,NOR,1,1379946615,634847d009a8c2c0e35c59d9aa385d9f,SRR24505878_1.fastq.gz
SRR24505878,GSM7325120,NOR,2,1385145347,1a94f3c579068de9889986fad7cc5924,SRR24505878_2.fastq.gz
SRR24505880,GSM7325117,NOR,1,1342567278,94b76cb4ec0e53e96d6035d2aea8f5f2,SRR24505880_1.fastq.gz
SRR24505880,GSM7325117,NOR,2,1347237463,256b61a706ff62a9dc8fb82afbbda986,SRR24505880_2.fastq.gz
SRR24505882,GSM7325114,NOR,1,1452420232,95782193c3ffca815c2573f4bd2d5b47,SRR24505882_1.fastq.gz
SRR24505882,GSM7325114,NOR,2,1458197127,0640be31895de3108e8ab8c8bca56c6b,SRR24505882_2.fastq.gz
SRR24505884,GSM7325112,NOR,1,1464585087,1ffcb766c6fe45f3cc47914e8838e85d,SRR24505884_1.fastq.gz
SRR24505884,GSM7325112,NOR,2,1469738979,25ce663f2f23e8a2db3be8775a6a067f,SRR24505884_2.fastq.gz
SRR24505886,GSM7325110,DOR,1,1391278347,1c4908bde883d0412794e9143653be71,SRR24505886_1.fastq.gz
SRR24505886,GSM7325110,DOR,2,1394631744,b78a60ecc2d31ee37eaa6cd51893749c,SRR24505886_2.fastq.gz
SRR24505888,GSM7325109,DOR,1,1325596042,4e6ee357615ec91e6359046eb61a0137,SRR24505888_1.fastq.gz
SRR24505888,GSM7325109,DOR,2,1327372323,39fa6bd966e7d5932758bb079a9232a4,SRR24505888_2.fastq.gz
SRR24505890,GSM7325106,DOR,1,1332706771,784923a6ff93f4ff891fde0f36f503ea,SRR24505890_1.fastq.gz
SRR24505890,GSM7325106,DOR,2,1336785995,6a32e1ec17e29df7621254d434f9c5d8,SRR24505890_2.fastq.gz
SRR24505892,GSM7325103,DOR,1,1399433963,472f957b3be24e5ef785bf8937507ed7,SRR24505892_1.fastq.gz
SRR24505892,GSM7325103,DOR,2,1403246777,aac2092663f6d658cb17b230c6c2c6f0,SRR24505892_2.fastq.gz
SRR24505894,GSM7325101,DOR,1,1442807695,d7ce6f80d9e16cec46abc437dcc86b8b,SRR24505894_1.fastq.gz
SRR24505894,GSM7325101,DOR,2,1446161921,5f9d8198296e5172ab5814577e809137,SRR24505894_2.fastq.gz
SRR24505896,GSM7325098,DOR,1,1397726030,ec34d708f58334b14e81c5f888b80b13,SRR24505896_1.fastq.gz
SRR24505896,GSM7325098,DOR,2,1401158803,83d28bb1283cd53c1fce41eb3d003c76,SRR24505896_2.fastq.gz
