srr,gsm,phenotype,mate,expected_bytes,expected_md5,filename
SRR17463943,GSM5774284,NOR,1,2316649687,23688b9ea9c2682d0c13825b120334a7,SRR17463943_1.fastq.gz
SRR17463943,GSM5774284,NOR,2,2319472546,53b553a8dc0dd8f8786337377a176579,SRR17463943_2.fastq.gz
SRR17463944,GSM5774283,NOR,1,2077020638,9277870cc35cc03180884d341b014a89,SRR17463944_1.fastq.gz
SRR17463944,GSM5774283,NOR,2,2079573789,7d838fbd0d5fa19962f9666265a5218c,SRR17463944_2.fastq.gz
SRR17463945,GSM5774282,NOR,1,1944814144,94eff0ca618504c4ca446d6fc9a3f8c8,SRR17463945_1.fastq.gz
SRR17463945,GSM5774282,NOR,2,1947313898,297aaf30c054660f5f196dc584ba3f23,SRR17463945_2.fastq.gz
SRR17463946,GSM5774281,NOR,1,1653808325,ce73e1e94b33a1e181733fabf5dede84,SRR17463946_1.fastq.gz
SRR17463946,GSM5774281,NOR,2,1655760328,c453b10317b4cb832d7fc2c057a9a6f6,SRR17463946_2.fastq.gz
SRR17463947,GSM5774280,NOR,1,1684697635,bc670e0cbb0f51943ef7bc47dfa73982,SRR17463947_1.fastq.gz
SRR17463947,GSM5774280,NOR,2,1686775891,55c26001bbea9933b69ba031d1346eb9,SRR17463947_2.fastq.gz
SRR17463948,GSM5774279,NOR,1,2190540879,a75e3ddd6ed40cf0ff46622acbbff0d2,SRR17463948_1.fastq.gz
SRR17463948,GSM5774279,NOR,2,2193749726,cbba1eb1c74624501aa47ceb7de1086d,SRR17463948_2.fastq.gz
SRR17463949,GSM5774278,DOR,1,1989422290,010019c82e7ec4d406d8042289b88830,SRR17463949_1.fastq.gz
SRR17463949,GSM5774278,DOR,2,1992213546,2bac7e304bc11b7aa971de3f85e76d3a,SRR17463949_2.fastq.gz
SRR17463950,GSM5774277,DOR,1,2282653609,77c70f13e69debbedec465b72f00ddc2,SRR17463950_1.fastq.gz
SRR17463950,GSM5774277,DOR,2,2285520551,07bc84edaf17d585456e852ada462567,SRR17463950_2.fastq.gz
SRR17463951,GSM5774276,DOR,1,1758217184,98651853fe046882c30cf018adb1992c,SRR17463951_1.fastq.gz
SRR17463951,GSM5774276,DOR,2,1760287204,4c038c58771f762d0edd752dddb083e9,SRR17463951_2.fastq.gz
SRR17463952,GSM5774275,DOR,1,1787982270,ffda762d1765b247d735147103f0236a,SRR17463952_1.fastq.gz
SRR17463952,GSM5774275,DOR,2,1790202286,894fdde3248124d31422076dec360aa4,SRR17463952_2.fastq.gz
SRR17463953,GSM5774274,DOR,1,2105338376,fc64f22a621b59797346d919a37c7286,SRR17463953_1.fastq.gz
SRR17463953,GSM5774274,DOR,2,2108379316,1afa74f1de92214103e70bfd49098f41,SRR17463953_2.fastq.gz
SRR17463954,GSM5774273,DOR,1,2333006731,23dc0c20aa4d7b1923e14e48fc12bf94,SRR17463954_1.fastq.gz
SRR17463954,GSM5774273,DOR,2,2336004630,621623ca42481218ee62a00e11b01daa,SRR17463954_2.fastq.gz
