batch,cohort,gsm,phenotype,biosample,srx,srr,layout,include
M02-B1,GSE274832,GSM8458766,DOR,SAMN43192976,SRX25706024,SRR30244481,PAIRED,YES
M02-B1,GSE274832,GSM8458767,DOR,SAMN43192975,SRX25706025,SRR30244480,PAIRED,YES
M02-B1,GSE274832,GSM8458768,DOR,SAMN43192974,SRX25706026,SRR30244479,PAIRED,YES
M02-B1,GSE274832,GSM8458763,NOR,SAMN43192979,SRX25706021,SRR30244484,PAIRED,YES
M02-B1,GSE274832,GSM8458764,NOR,SAMN43192978,SRX25706022,SRR30244483,PAIRED,YES
M02-B1,GSE274832,GSM8458765,NOR,SAMN43192977,SRX25706023,SRR30244482,PAIRED,YES
